"Nature du risque","Code risque","Taux net","Taux commun quel que soit effectif ?","Catégorie"
"Construction de voitures particulières, de véhicules utilitaires ou blindés.","34.1ZD","2,4",,"industries de la métallurgie"
"Construction de carrosseries, bennes, remorques autres que de tourisme. Fabrication de caravanes et véhicules de loisirs.","34.2AB","4,8",,"industries de la métallurgie"
"Fabrication d'équipements, de parties, d'accessoires et de pièces détachées pour l'automobile y compris équipements de carrosserie et de châssis.","34.3ZE","2,4",,"industries de la métallurgie"
"Construction, réparation ou peinture de navires en acier (y compris équipements spécifiques de bord).","35.1BF","6,5",,"industries de la métallurgie"
"Recherche, fabrication, entretien, maintenance, réparation, reconditionnement pour : aéronautique, aérospatiale, missiles, armement, structures, équipements.","35.3BC","1,3",,"industries de la métallurgie"
"Fabrication ou réparation de motocycles ou de cycles. Fabrication de pièces et équipement pour cycles ou motocycles.","35.4AD","2,5",,"industries de la métallurgie"
"Entreprises spécialisées dans l'installation de machines électriques dans les usines et établissements industriels.","45.3AA","3,5",,"industries de la métallurgie"
"Commerce de véhicules automobiles avec atelier de réparation (sauf mécaniciens et réparateurs automobiles).","50.1ZA","3,1",,"industries de la métallurgie"
"Importation d'automobiles neuves, concessionnaires, agents de marque(s), réparateurs agréés des sociétés françaises et étrangères de construction de véhicules automobiles.","50.1ZB","2,4",,"industries de la métallurgie"
"Succursales et filiales de vente et réparation des sociétés de construction de véhicules automobiles.","50.1ZC","2,4",,"industries de la métallurgie"
"Réparation, montage d'appareillage électrique : électricité automobile.","50.2ZC","2,4",,"industries de la métallurgie"
"Dépannage, remorquage de véhicules automobiles (sans atelier de réparation et non annexé à un garage). Mécaniciens-réparateurs n'appartenant pas à un réseau de marque automobile. Fabrication ou fabrication associée à la réparation de menuiserie, tôlerie, sellerie, peintures spécialisées de voitures. Récupération de matières métalliques recyclables.","50.2ZH","3,7",,"industries de la métallurgie"
"Commerce de détail et réparation de motocycles, cycles et véhicules divers.","50.4ZC","2,7",,"industries de la métallurgie"
"Personnel des sièges sociaux et bureaux du BTP.","00.00A","1",,"industries du bâtiment et des travaux publics"
"Entretien et réparation des matériels du bâtiment et des travaux publics (dépendant d'une entreprise de bâtiment ou de travaux publics).","29.5CD","6,9",,"industries du bâtiment et des travaux publics"
"Terrassement (y compris travaux paysagers sauf horticulture).","45.1AA","4,9",,"industries du bâtiment et des travaux publics"
"Forages et sondages, fondations spéciales. Travaux souterrains, de voies ferrées, maritimes et fluviaux.","45.1DB","6",,"industries du bâtiment et des travaux publics"
"Travaux de gros-œuvre et organisation de chantiers.","45.2BD","8,2",,"industries du bâtiment et des travaux publics"
"Construction et entretien d'ouvrages d'art hors structures métalliques.","45.2CB","6,2",,"industries du bâtiment et des travaux publics"
"Construction métallique : montage et levage.","45.2CC","8,2",,"industries du bâtiment et des travaux publics"
"Travaux urbains et travaux d'hygiène publique. Pose de canalisations à grande distance.","45.2EC","5,9",,"industries du bâtiment et des travaux publics"
"Construction et entretien de lignes électriques et de télécommunications.","45.2FA","6,1",,"industries du bâtiment et des travaux publics"
"Couverture. - plomberie, sanitaires. - Installation d'eau et de gaz. - Installation d'équipements thermiques et de climatisation.","45.2JC","6,9",,"industries du bâtiment et des travaux publics"
"Couverture, travaux de charpente en bois, travaux d'étanchéité.","45.2JD","10",,"industries du bâtiment et des travaux publics"
"Construction et entretien de chaussées (y compris sols sportifs et pavage). - Fabrication de produits asphaltés ou enrobés (avec transport et mise en œuvre).","45.2PB","4,3",,"industries du bâtiment et des travaux publics"
"Construction et entretien de fours et de cheminées. Fumisterie industrielle et de bâtiment. Ramonage.","45.2UD","6,9",,"industries du bâtiment et des travaux publics"
"Pose de paratonnerres et d'antennes de télévision (à l'exclusion de la fabrication).","45.3AB","10",,"industries du bâtiment et des travaux publics"
"Pose d'antennes extérieures associée au commerce d'appareils de radio, de télévision.","45.3AD","2,8",,"industries du bâtiment et des travaux publics"
"Travaux d'installation électrique, pose d'enseignes et de stores, fermetures (fabrication et pose de jalousies, volets, persiennes…).","45.3AE","3,7",,"industries du bâtiment et des travaux publics"
"Plomberie, installations sanitaires seules ou associées avec le chauffage ou l'électricité.","45.3EA","5,3",,"industries du bâtiment et des travaux publics"
"Installation d'équipements aérauliques, thermiques, frigorifiques et de climatisation.","45.3FB","3,8",,"industries du bâtiment et des travaux publics"
"Menuiserie de bâtiment associée ou non à la charpente. Menuiserie métallique.","45.4CE","6,9",,"industries du bâtiment et des travaux publics"
"Travaux d'isolation, traitement de l'amiante en place, métallerie (hors petite serrurerie).","45.4DD","6,9",,"industries du bâtiment et des travaux publics"
"Travaux en peinture d'intérieur et travaux annexes notamment travaux d'assèchement des murs, travaux d'ignifugation. Peintures de lettres et attributs. - Ravalement en peinture. - Peinture industrielle. - Publicité sur les bâtiments et affiches peintes (pose).","45.4JB","6,9",,"industries du bâtiment et des travaux publics"
"Travaux d'aménagement intérieur. Métallerie : petite serrurerie.","45.4LD","6,3",,"industries du bâtiment et des travaux publics"
"Location de matériel pour le bâtiment et les travaux publics avec montage et/ou opérateurs de matériel de construction.","45.5ZA","6",,"industries du bâtiment et des travaux publics"
"Activité de conseil et d'assistance : ingénierie, architecture, hygiène et sécurité, topographie, métrés. Décorateur d'ameublement (sans commerce d'ameublement).","74.2CD","1,2",,"industries du bâtiment et des travaux publics"
"Décorateurs d'intérieur. - Tapissiers-décorateurs. - Fabrication maquettes et plans en relief.","74.8KD","2,8",,"industries du bâtiment et des travaux publics"
"Allocations complémentaires aux indemnités journalières de sécurité sociale versées soit par des organismes de prévoyance soit par des employeurs : activités de bâtiment (gros œuvre) et travaux publics (1).","75.3CA","6,9 ","Oui","industries du bâtiment et des travaux publics"
"Allocations complémentaires aux indemnités journalières de sécurité sociale versées soit par des organismes de prévoyance soit par des employeurs : autres activités.","75.3CB","4,3 ","Oui","industries du bâtiment et des travaux publics"
"Caisses de congés payés du bâtiment et des travaux publics (en ce qui concerne les indemnités versées par ces organismes).","91.1AA","0,5 ","Oui","industries du bâtiment et des travaux publics"
"Edition seule de journaux d'information. Agence de presse, y compris journalistes et photographes indépendants.","22.1CC","2,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Edition à l'exception des journaux d'information. Fabrication et édition de supports d'enregistrements sonores. Studios et autres activités photographiques, laboratoires de développement (sauf photographie de presse 22.1CC). Reliure, dorure main, affiches.","22.1EB","1,2",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Imprimerie. Sérigraphie. Reliure, brochure industrielle, brochage, pliage de revue. Edition et impression de journaux d'information.","22.2CC","2,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Composition, photocomposition, gravure et photogravure. Reprographie.","22.2GB","1,2",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Récupération, tri, recyclage, mise en valeur de tous types de déchets hors ordures ménagères, y compris désamorçage, démolition de munitions.","37.1ZE","4,9",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Agents statutaires des industries électriques et gazières. (1)","40.1ZE","0,3 ","Oui","industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Salariés non statutaires des industries électriques et gazières. (1)","40.1ZF","2,0 ","Oui","industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Chauffage urbain et climatisation urbaine, chauffage d'immeuble à forfait (exploitant de chauffage) quel que soit le combustible utilisé.","40.3ZD","2",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Captage, traitement et distribution de l'eau.","41.0ZA","1,9",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Transport ferroviaire : personnel contractuel SNCF.","60.1ZA","1,8 ","Oui","industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Transports urbains de voyageurs.","60.2AA","3,3",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Transport routier de voyageurs. Transport ferroviaire : chemin de fer d'intérêt général et local. Exploitation d'embranchements particuliers.","60.2BC","3,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Téléphériques, remontées mécaniques.","60.2CA","3,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Transport de voyageurs par taxi.","60.2EA","2,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Transports routiers de marchandises.","60.2MD","5,8",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Transports routiers de marchandises par véhicules isothermes, frigorifiques ou réfrigérants.","60.2ME","5,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Transports routiers associés (marchandises et voyageurs).","60.2MF","5,1",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Déménagement et garde-meubles.","60.2NA","7,5",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Location de véhicules utilitaires et industriels.","60.2PC","6,2",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Transports fluviaux de marchandises.","61.2ZB","5,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Transports aériens réguliers et non réguliers : personnel non navigant.","62.1ZA","2",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Transports aériens réguliers et non réguliers : personnel navigant.","62.1ZB","1,7",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Chargement, déchargement ou manutention de marchandises dans les ports maritimes (personnel mensualisé ou occasionnel).","63.1AA","8,8",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Ouvriers poissonniers soumis au régime de la vignette.","63.1AB","5,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Chargement et déchargement de marchandises dans les ports maritimes (activités dans les départements d'outre-mer).","63.1AY","2,1",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Ouvriers dockers maritimes intermittents, soumis au régime de la vignette, et effectuant quel que soit le classement de l'entreprise qui les emploie, des opérations de chargement, de déchargement ou de manutention de marchandises à l'exclusion des ouvriers dockers poissonniers visés sous le n° 63.1AB.","63.1AZ","35",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Manutention, entreposage dans les ports fluviaux. Entreprises de manutention (non visées au numéro de risque 74.7ZE).","63.1BD","5,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Entrepôts, docks, magasins généraux (non frigorifiques) non reliés à une voie d'eau.","63.1EB","3,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Entrepôts de liquides en vrac avec installations de pompage.","63.1EC","3,1",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Gares routières et exploitation d'ouvrages routiers à péages.","63.2AD","1,9",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Entreprises d'armement pour la pêche en mer. Transports maritimes et côtiers de personnes et de marchandises y compris la location de bateaux avec équipage. Transports fluviaux de personnes. Services portuaires, maritimes et fluviaux non désignés ailleurs.","63.2CE","2,1",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Services aéroportuaires.","63.2EA","2",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Agences de voyage.","63.3ZA","1,2",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Office de tourisme.","63.3ZB","1,3",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Entreprises de groupage effectuant directement ou non l'enlèvement ou la livraison à domicile des marchandises, messagerie, fret express.","63.4AA","4,2",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Affrètement et organisation des transports maritimes.","63.4CE","2,1",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Affrètement et organisation de transports routiers ou aériens.","63.4CH","1,9",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Services postaux et financiers.","64.1AA","2,7 ","Oui","industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Autres activités de courrier : activités autres que celles exercées par La Poste. - Acheminement du courrier, lettre, colis généralement en express. - Activités de coursiers urbains et taxis-marchandises.","64.1CA","4,5",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Télécommunications nationales.","64.2AA","1,1 ","Oui","industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Activités de télécommunications hors télécommunications nationales, y compris les activités de télésurveillance (sans personnel d'intervention sur le site surveillé) et de messageries télématiques.","64.2BA","1,1",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Créateurs et intermédiaires de publicité (2) : régies publicitaires avec affichage.","74.4AA","2,7",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Créateurs et intermédiaires de publicité (2) : régies publicitaires sans affichage (entreprise de timbres réclame).","74.4BA","1,3",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Transports de fonds, surveillance et transports de fonds.","74.6ZB","4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Entreprises de travaux connexes aux sociétés de transports ferroviaires, y compris la manutention dans les gares ferroviaires. Entreprises de nettoyage de matériel roulant sur les emprises de chemin de fer.","74.7ZE","3,9",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Routage.","74.8GA","2,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Acheminement et distribution de presse gratuite ou payante.","74.8GB","2,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Caisses de congés payés dans les ports et dans certaines entreprises de manutention et de transports (en ce qui concerne les indemnités versées par ces organismes).","75.3CC","0,5 ","Oui","industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Ambulances.","85.1JA","3,8",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Autres services d'assainissement (sauf ceux visés sous le numéro 74.7ZF).","90.0AA","3,8",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Entreprises de nettoiement, d'arrosage, de balayage. Entreprises d'enlèvement d'ordures ménagères sans personnel de chargement.","90.0BB","4,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Usine d'incinération des gadoues, des ordures ménagères.","90.0BD","2",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Enlèvement des ordures ménagères avec personnel de collecte et des déchets industriels et commerciaux banals. Entreprises de traitement des ordures ménagères et des déchets industriels et commerciaux banals.","90.0BE","4,4",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Caisses des congés payés des spectacles (en ce qui concerne les indemnités versées par ces organismes).","91.1AE","0,5 ","Oui","industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Associations culturelles et socio-éducatives ne gérant pas d'équipements.","91.3EA","1,4 ","Oui","industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Production de films, studios de cinéma (sauf les artistes). Production de programmes de télévision.","92.1CB","1,3",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Exploitation de studios d'enregistrement sonore (sauf les artistes). Travaux à façon de cinéma : développement, tirage de films. Distribution de films.","92.1DD","1,2",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Projection de films cinématographiques.","92.1JA","1,7",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Entreprise de radiodiffusion et de télévision (tout le personnel sauf les artistes).","92.2AA","1,7",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Création et interprétation littéraires et artistiques (3).","92.3AB","1,4 ","Oui","industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Artistes, pour toutes leurs activités.","92.3AC","1,7 ","Oui","industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Services annexes des spectacles.","92.3BA","2,0 ","Oui","industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Attractions foraines (sauf les artistes) avec montage de manèges ou de chapiteaux (4).","92.3FB","6,8",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Entreprise de concert public, salle de concert, salle d'audition phonographique. Gestion d'équipements culturels socio-éducatifs et de salles de spectacles (sauf les artistes).","92.3FD","1,7",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Gestion de bibliothèques et conservation du patrimoine culturel (monument privé, musée privé).","92.5AA","1,7",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Gestion d'équipements et centres sportifs (personnel non visé par ailleurs et notamment aux risques 92.6CH et 92.6CI).","92.6AA","1,7",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Courses de chevaux, courses de taureaux.","92.6CA","1,7",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Associations ou sociétés sportives ne gérant pas d'équipements.","92.6CG","1,4 ","Oui","industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Sportifs professionnels, y compris entraîneurs joueurs, quel que soit le classement de l'établissement qui les emploie (5) : rugby, escalade, moto, handball, basket, hockey, équitation, volley-ball, football, ski, cyclisme.","92.6CH","6,8",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Sportifs professionnels, pour les sports non visés par ailleurs, incluant également les entraîneurs non joueurs des sports visés par le 926CH, quel que soit le classement de l'établissement qui les emploie (5), arbitres et juges.","92.6CI","2,1",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Jeux de hasard et d'argent.","92.7AA","1,7",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Attractions foraines (sauf les artistes) sans montage de manège. Autres spectacles et services récréatifs (6).","92.7CB","1,7",,"industries des transports, de l'eau, du gaz, de l'electricite, du livre et de la communication"
"Cultures et élevage dans les départements d'outre-mer.","01.1AA","4,4",,"services, commerces et industries de l'alimentation"
"Abattage du bétail, découpe et commerce de gros de viandes de boucherie. Production de viandes de volailles.","15.1AE","6,4",,"services, commerces et industries de l'alimentation"
"Transformation et conservation de la viande et préparation de produits à base de viande (y compris boyauderie). Transformation et conservation du poisson.","15.1EC","5,1",,"services, commerces et industries de l'alimentation"
"Autres industries alimentaires non classées par ailleurs et transformation du tabac.","15.5CC","2,8",,"services, commerces et industries de l'alimentation"
"Transformation et conservation de légumes et de fruits. Fabrication industrielle de produits de boulangerie, pâtisserie et pizza.","15.8AC","4,3",,"services, commerces et industries de l'alimentation"
"Commerce de détail (avec ou sans fabrication) de pain, pâtisserie, confiserie et chocolats.","15.8CD","2,4",,"services, commerces et industries de l'alimentation"
"Fabrication et transformation de café et épices. Fabrication de boissons sauf produits laitiers.","15.9SC","2",,"services, commerces et industries de l'alimentation"
"Intermédiaires de commerce en produits agricoles et alimentaires et vente par correspondance sans manutention, ni livraison, ni stockage, ni conditionnement.","51.1NB","1,1",,"services, commerces et industries de l'alimentation"
"Commerce de gros (commerce interentreprises) alimentaire non spécialisé.","51.3TC","2,9",,"services, commerces et industries de l'alimentation"
"Commerce de détail de produits laitiers, de produits surgelés, de fruits et légumes, de boissons et d'alimentation générale.","52.1BC","2,7",,"services, commerces et industries de l'alimentation"
"Grande et moyenne distribution et Drive. - Vente par automate.","52.1FB","3,4",,"services, commerces et industries de l'alimentation"
"Commerce de détail de viandes, poissons, charcuterie artisanale y compris traiteurs, organisateurs de réception.","52.2CB","3,3",,"services, commerces et industries de l'alimentation"
"Installations d'hébergement à équipements légers ou développés.","55.2EC","2,6",,"services, commerces et industries de l'alimentation"
"Restaurants, café-tabac, hôtels avec ou sans restaurant et foyers.","55.3AC","2,3",,"services, commerces et industries de l'alimentation"
"Restauration type rapide y compris wagons-lits et wagons-restaurants.","55.3BC","2,2",,"services, commerces et industries de l'alimentation"
"Restauration collective.","55.5AA","3,5",,"services, commerces et industries de l'alimentation"
"Entreposage frigorifique.","63.1DA","4,1",,"services, commerces et industries de l'alimentation"
"Production, transport par conduite et raffinage de pétrole et de gaz. Fabrication d'ingrédients et additifs pour carburation et lubrification, de produits asphaltés et bitumeux. Commerce de gros des produits pétroliers. Fabrication de produits chimiques organiques de base. Fabrication de caoutchoucs synthétiques, d'élastomères, de matières plastiques.","11.1ZC","2,2",,"industries de la chimie, du caoutchouc et de la plasturgie"
"Production et transformation de matières nucléaires.","23.3ZA","1,2",,"industries de la chimie, du caoutchouc et de la plasturgie"
"Fabrication de produits chimiques minéraux et inorganiques, organiques de synthèse ou dérivés du bois, de produits azotés et d'engrais, d'abrasifs, de pigments, colorants, émaux, de produits photographiques, d'électrodes. Métallurgie de l'aluminium, des ferro-alliages et métaux légers. Electrométallurgie, électrochimie. Dénaturation d'éthanol.","24.1GN","3,2",,"industries de la chimie, du caoutchouc et de la plasturgie"
"Fabrication de peintures, vernis, colles, encres, mastics. Fabrication de gélatines et de leurs dérivés. Fabrication de produits d'entretien. Fabrication d'explosifs, d'articles de pyrotechnie, de poudres propulsives.","24.3ZC","2,7",,"industries de la chimie, du caoutchouc et de la plasturgie"
"Fabrication de préparations pharmaceutiques, de cosmétiques et de parfums. Fabrication et transformation d'extraits de végétaux, d'algues, bois résineux. Fabrication de produits de base pour détergents, de produits détergents, de pesticides et de biocides. Fabrication et traitement chimique de corps gras.","24.4CC","1,8",,"industries de la chimie, du caoutchouc et de la plasturgie"
"Fabrication d'articles en caoutchouc naturel ou synthétique à partir d'élastomères secs ou sous forme latex ou en solution.","25.1AC","3,4",,"industries de la chimie, du caoutchouc et de la plasturgie"
"Fabrication, assemblage d'articles et pièces en matières plastiques, y compris composites.","25.2HK","3,2",,"industries de la chimie, du caoutchouc et de la plasturgie"
"Chimie expert. Laboratoires de recherches chimiques.","73.1ZB","1,2",,"industries de la chimie, du caoutchouc et de la plasturgie"
"Extraction et préparation de matériaux issus des carrières de roches meubles ou massives.","14.1AH","4,6",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Extraction, broyage et préparation de produits minéraux divers.","14.5ZM","3",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Travail des fibres textiles naturelles (filature, moulinage et retordage, préparation de la laine, fibres dures, ouates…).","17.1KB","5,6",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Tissage. Fabrication de textiles non tissés, tapis, moquettes, feutres, élastiques…","17.2AB","3,7",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Ennoblissement textile.","17.3ZA","5,1",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication d'articles en toile forte.","17.4CC","4,1",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
